id,tick_number,action,is_red_security,is_blue_security,is_yellow_security,is_blue_capability,is_yellow_capability,is_red_capability,is_attack,is_peer_sanction,is_manager_sanction,player_id
1366,6,3,1,1,1,1,1,1,0,0,0,114
1367,7,7,1,1,1,1,1,1,3,0,0,114
1368,8,3,1,1,1,1,1,1,0,0,0,114
1369,9,3,1,1,1,1,1,1,0,0,0,114
1370,10,3,1,1,1,1,1,1,0,0,0,114
1371,11,3,1,1,1,1,1,1,0,0,0,114
1372,12,3,1,1,1,1,1,1,0,0,0,114
1373,13,3,1,1,1,1,1,1,0,0,0,114
1374,14,3,1,1,1,1,1,1,0,0,0,114
1375,15,3,1,1,1,1,1,1,0,0,0,114
1376,16,3,1,1,1,1,1,1,0,0,0,114
1377,17,3,1,1,1,1,1,1,0,0,0,114
1378,18,3,1,1,1,1,1,1,0,0,0,114
1379,19,3,1,1,1,1,1,1,0,0,0,114
1380,20,3,1,1,1,1,1,1,0,0,0,114
1381,21,3,1,1,1,1,1,1,0,0,0,114
1382,22,6,1,1,1,1,1,1,1,0,0,114
1383,23,3,1,1,1,1,1,1,0,0,0,114
1384,24,3,1,1,1,1,1,1,0,0,0,114
1385,25,3,1,1,1,1,1,1,0,0,0,114
1386,26,3,1,1,1,1,1,1,0,0,0,114
1387,27,3,1,1,1,1,1,1,0,0,0,114
1388,28,3,1,1,1,1,1,1,0,0,0,114
1389,29,3,1,1,1,1,1,1,0,0,0,114
1390,30,3,1,1,1,1,1,1,0,0,0,114
1391,31,3,1,1,1,1,1,1,0,0,0,114
1392,32,3,0,1,1,1,1,0,2,0,0,114
1393,33,8,1,1,1,1,1,1,0,0,0,114
1394,34,7,1,1,1,1,1,1,3,0,0,114
1395,35,3,1,1,1,1,1,1,0,0,0,114
1396,36,3,1,1,1,1,1,1,0,0,0,114
1397,37,3,1,1,1,1,1,1,0,0,0,114
1398,38,3,1,1,1,1,1,1,0,0,0,114
1399,39,6,1,1,1,1,1,1,1,0,0,114
1400,40,3,1,1,1,1,1,1,0,0,0,114
1401,1,3,1,1,1,1,1,1,0,0,0,91
1402,2,6,0,1,0,1,0,0,4,0,0,91
1403,3,8,1,1,0,1,0,1,0,0,0,91
1404,4,7,1,1,1,1,1,1,0,0,0,91
1405,5,3,1,0,1,0,1,1,1,0,0,91
1406,6,3,1,0,1,0,1,1,0,0,0,91
1407,7,6,1,1,1,1,1,1,0,0,0,91
1408,8,3,1,0,1,0,1,1,1,0,0,91
1409,9,6,1,1,1,1,1,1,0,0,0,91
1410,10,3,0,1,1,1,1,0,2,0,0,91
1411,11,8,1,0,0,0,0,1,4,0,0,91
1412,12,7,1,0,1,0,1,1,0,0,0,91
1413,13,6,1,1,1,1,1,1,0,0,0,91
1414,14,3,1,1,1,1,1,1,0,0,0,91
1415,15,3,1,1,1,1,1,1,0,0,0,91
1416,16,3,1,1,1,1,1,1,0,0,0,91
1417,17,3,1,1,1,1,1,1,0,0,0,91
1418,18,3,1,1,1,1,1,1,0,0,0,91
1419,19,3,1,1,1,1,1,1,0,0,0,91
1420,20,3,0,1,1,1,1,0,2,0,0,91
1421,21,8,1,0,1,0,1,1,1,0,0,91
1422,22,6,1,1,1,1,1,1,0,0,0,91
1423,23,3,1,1,1,1,1,1,0,0,0,91
1424,24,3,1,0,1,0,1,1,1,0,0,91
1425,25,6,0,1,0,1,0,0,4,0,0,91
1426,26,8,1,1,0,1,0,1,0,0,0,91
1427,27,7,1,1,1,1,1,1,3,0,0,91
1428,28,3,1,0,1,0,1,1,1,0,0,91
1429,29,6,1,1,1,1,1,1,0,0,0,91
1430,30,3,1,0,1,0,1,1,1,0,0,91
1431,31,6,1,1,1,1,1,1,0,0,0,91
1432,32,3,1,0,1,0,1,1,1,0,0,91
1433,33,3,1,0,1,0,1,1,0,0,0,91
1434,34,6,1,1,0,1,0,1,3,0,0,91
1435,35,7,0,1,1,1,1,0,2,0,0,91
